"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-07-25;8226604;84137;271649;1336987;"2019-W30";30;2019-07-21;"2019";355786;1065338
2019-07-26;8171245;80289;261627;1347029;"2019-W30";30;2019-07-21;"2019";341916;1085402
2019-07-27;5090895;44361;169492;886861;"2019-W30";30;2019-07-21;"2019";213853;717369
2019-07-28;2881521;23746;96543;579663;"2019-W31";31;2019-07-28;"2019";120289;483120
2019-07-29;8023971;79584;270362;1340583;"2019-W31";31;2019-07-28;"2019";349946;1070221
2019-07-30;8123081;81905;265896;1339574;"2019-W31";31;2019-07-28;"2019";347801;1073678
2019-07-31;8087180;88395;273618;1342803;"2019-W31";31;2019-07-28;"2019";362013;1069185
2019-08-01;8649133;116044;457961;1414450;"2019-W31";31;2019-07-28;"2019";574005;956489
2019-08-02;8528220;125084;496575;1389924;"2019-W31";31;2019-07-28;"2019";621659;893349
2019-08-03;4855432;56357;282352;780624;"2019-W31";31;2019-07-28;"2019";338709;498272
2019-08-04;2549326;27239;148012;466092;"2019-W32";32;2019-08-04;"2019";175251;318080
2019-08-05;8353811;173790;666253;1312306;"2019-W32";32;2019-08-04;"2019";840043;646053
2019-08-06;8984189;194491;686951;1439143;"2019-W32";32;2019-08-04;"2019";881442;752192
2019-08-07;8841822;195276;701479;1446602;"2019-W32";32;2019-08-04;"2019";896755;745123
2019-08-08;9266924;209266;760392;1469187;"2019-W32";32;2019-08-04;"2019";969658;708795
2019-08-09;9094680;196953;722824;1444053;"2019-W32";32;2019-08-04;"2019";919777;721229
2019-08-10;5701224;85968;386834;954113;"2019-W32";32;2019-08-04;"2019";472802;567279
2019-08-11;3021811;34006;181931;572507;"2019-W33";33;2019-08-11;"2019";215937;390576
2019-08-12;8980770;224925;763303;1412064;"2019-W33";33;2019-08-11;"2019";988228;648761
2019-08-13;9029085;230541;772356;1385608;"2019-W33";33;2019-08-11;"2019";1002897;613252
2019-08-14;8776719;231095;796735;1269136;"2019-W33";33;2019-08-11;"2019";1027830;472401
2019-08-15;9102985;237079;823162;1386626;"2019-W33";33;2019-08-11;"2019";1060241;563464
2019-08-16;8840766;217390;776148;1357405;"2019-W33";33;2019-08-11;"2019";993538;581257
2019-08-17;5288601;85798;378652;886648;"2019-W33";33;2019-08-11;"2019";464450;507996
2019-08-18;2923408;42067;204609;574705;"2019-W34";34;2019-08-18;"2019";246676;370096
2019-08-19;7851336;205612;715261;1144339;"2019-W34";34;2019-08-18;"2019";920873;429078
2019-08-20;8895379;241741;841435;1314875;"2019-W34";34;2019-08-18;"2019";1083176;473440
2019-08-21;9065729;245381;850051;1399201;"2019-W34";34;2019-08-18;"2019";1095432;549150
2019-08-22;8906154;242206;834853;1337276;"2019-W34";34;2019-08-18;"2019";1077059;502423
2019-08-23;8690784;221548;777273;1314991;"2019-W34";34;2019-08-18;"2019";998821;537718
2019-08-24;5085057;83655;364200;839166;"2019-W34";34;2019-08-18;"2019";447855;474966
2019-08-25;2858671;40255;192068;553493;"2019-W35";35;2019-08-25;"2019";232323;361425
2019-08-26;8223703;222160;741856;1293889;"2019-W35";35;2019-08-25;"2019";964016;552033
2019-08-27;2830730;72239;237758;449961;"2019-W35";35;2019-08-25;"2019";309997;212203
2019-08-28;9014121;233601;777527;1448777;"2019-W35";35;2019-08-25;"2019";1011128;671250
2019-08-29;8932118;225435;735800;1405166;"2019-W35";35;2019-08-25;"2019";961235;669366
2019-08-30;8553853;196262;633967;1368697;"2019-W35";35;2019-08-25;"2019";830229;734730
2019-08-31;5352555;78687;310143;916186;"2019-W35";35;2019-08-25;"2019";388830;606043
2019-09-01;2607018;32589;162871;476037;"2019-W36";36;2019-09-01;"2019";195460;313166
2019-09-02;8465386;215023;790836;1293161;"2019-W36";36;2019-09-01;"2019";1005859;502325
2019-09-03;8897893;240199;853526;1398008;"2019-W36";36;2019-09-01;"2019";1093725;544482
2019-09-04;9061029;251392;879025;1446155;"2019-W36";36;2019-09-01;"2019";1130417;567130
2019-09-05;7790405;202150;726102;1222012;"2019-W36";36;2019-09-01;"2019";928252;495910
2019-09-06;7206513;161288;529598;1149397;"2019-W36";36;2019-09-01;"2019";690886;619799
2019-09-07;4423007;73249;306838;790140;"2019-W36";36;2019-09-01;"2019";380087;483302
2019-09-08;3095878;49001;216749;604706;"2019-W37";37;2019-09-08;"2019";265750;387957
2019-09-09;9143697;261254;843845;1504695;"2019-W37";37;2019-09-08;"2019";1105099;660850
2019-09-10;9320151;273954;885092;1492937;"2019-W37";37;2019-09-08;"2019";1159046;607845
2019-09-11;9237086;274394;884882;1470263;"2019-W37";37;2019-09-08;"2019";1159276;585381
2019-09-12;9099331;272659;884513;1401831;"2019-W37";37;2019-09-08;"2019";1157172;517318
2019-09-13;8957126;253361;838368;1399461;"2019-W37";37;2019-09-08;"2019";1091729;561093
2019-09-14;5507157;106708;429750;930065;"2019-W37";37;2019-09-08;"2019";536458;500315
2019-09-15;3054969;51831;232820;589217;"2019-W38";38;2019-09-15;"2019";284651;356397
2019-09-16;8849625;266431;876920;1381270;"2019-W38";38;2019-09-15;"2019";1143351;504350
2019-09-17;9086028;279057;907826;1404816;"2019-W38";38;2019-09-15;"2019";1186883;496990
2019-09-18;9087370;276974;904165;1411261;"2019-W38";38;2019-09-15;"2019";1181139;507096
2019-09-19;8999283;270454;887871;1368608;"2019-W38";38;2019-09-15;"2019";1158325;480737
2019-09-20;8654268;242474;828362;1329189;"2019-W38";38;2019-09-15;"2019";1070836;500827
2019-09-21;5172374;98551;406078;858253;"2019-W38";38;2019-09-15;"2019";504629;452175
